Id,SalePrice
1461,140181.43296965407
1462,159438.2029078207
1463,188528.438299556
1464,180978.30658192758
1465,204364.83847535477
1466,187659.90562003822
1467,190966.6171371886
1468,182047.3143979496
1469,199864.94777652228
1470,137852.47698645282
1471,210463.19825545966
1472,106494.78891194837
1473,108915.50820211471
1474,155682.00805074704
1475,140915.0830942217
1476,317238.0289255525
1477,239557.01175978486
1478,267379.81915718096
1479,264231.7028776902
1480,326235.541310963
1481,277338.09761456435
1482,216948.10750888393
1483,189519.9856646182
1484,185134.13797438034
1485,165741.14597280818
1486,191581.50374731488
1487,284711.32275720005
1488,235596.00752340717
1489,210468.50157199567
1490,205030.51440297285
1491,191139.39579094452
1492,116024.23356650032
1493,199971.47910471074
1494,254935.12292093987
1495,251882.2379193789
1496,220333.96714442625
1497,204036.4706930088
1498,170860.36493042076
1499,171312.5729411757
1500,170060.37524744574
1501,178762.48398225836
1502,165285.81723257006
1503,246023.3056151489
1504,221692.54208719434
1505,218471.94666300167
1506,213463.09564212422
1507,231981.3475111561
1508,199454.2238740681
1509,171634.27408313443
1510,169101.34354800178
1511,167407.86174411734
1512,173858.85601727475
1513,157423.0392246706
1514,188884.026267591
1515,226629.88429747755
1516,163434.04239712018
1517,157047.9634973709
1518,186359.65061583926
1519,213497.8909389003
1520,147110.9607683623
1521,152073.4331162878
1522,191507.10117529676
1523,122010.72821584262
1524,119843.6432173319
1525,129616.17681963995
1526,128616.35454966668
1527,127376.1025975993
1528,142642.90595831303
1529,161356.04850139547
1530,209100.76823401905
1531,118357.59156518852
1532,103679.52901919068
1533,159231.2169159894
1534,119610.53661618393
1535,145681.42706461588
1536,123539.006069344
1537,118555.916824749
1538,162738.38845005128
1539,201147.22940593798
1540,142593.7710826139
1541,152655.27939689122
1542,150887.33324723673
1543,192902.99205516477
1544,89870.70784133655
1545,103402.15612893601
1546,137095.91896474652
1547,121619.57277962011
1548,131863.25102531078
1549,124552.17847729422
1550,141012.6330385862
1551,133221.13163939398
1552,144361.68937578393
1553,120550.52407816537
1554,116742.47146170524
1555,173141.28884960272
1556,104386.8981960901
1557,132178.62449151665
1558,120153.31414781311
1559,106005.52360084336
1560,152316.28425950662
1561,179315.53454109645
1562,134821.84985892836
1563,124071.43131299308
1564,191937.79771968612
1565,154384.5554335948
1566,257311.95831458544
1567,107710.11543919989
1568,199893.8781027092
1569,133231.81893943675
1570,131328.1018259052
1571,134904.82484072447
1572,157113.88707751586
1573,232708.2072677468
1574,171598.61930286686
1575,225565.8856432013
1576,193243.98742979587
1577,196125.33597874688
1578,149548.8686873737
1579,168206.63525875387
1580,205735.80275146646
1581,150542.90771867664
1582,144152.81757025202
1583,280600.6570375216
1584,217720.20372249314
1585,146828.51876338874
1586,99390.55577168436
1587,105537.13177555891
1588,155644.31309551196
1589,107980.23807735408
1590,153444.59263569693
1591,110604.94608030822
1592,137854.12671587215
1593,138099.08823678855
1594,174058.69590310284
1595,126847.48712350997
1596,221008.70059292333
1597,197170.24424771362
1598,178824.5327450261
1599,187976.97698573009
1600,199665.21836898613
1601,81671.9566057627
1602,125660.43528162126
1603,90981.6178503861
1604,252783.18176104588
1605,224239.30961280537
1606,172918.59409479884
1607,219626.8314668626
1608,199148.6359208171
1609,200036.24118039053
1610,171067.07645552699
1611,167079.0903594406
1612,184070.42189185703
1613,190009.39586398675
1614,125249.54943961086
1615,84196.09386249763
1616,79557.05947747463
1617,97254.2767844985
1618,137492.55061014966
1619,138943.16046914246
1620,203779.2401941664
1621,161246.45453382842
1622,155674.9655060796
1623,259850.71041372675
1624,194397.19408822217
1625,137634.2194027034
1626,194552.12933642537
1627,194749.18151537687
1628,240024.89455312083
1629,181444.82413337304
1630,294205.7960165557
1631,243170.47006937306
1632,244031.82409869705
1633,173303.1162884238
1634,195852.23600907478
1635,168914.62786469382
1636,174713.60703027237
1637,192881.22971954773
1638,190829.65807102123
1639,212266.06136373588
1640,243197.1541289555
1641,210922.81207356346
1642,215324.4353954607
1643,227016.80750813868
1644,220310.6349374637
1645,196754.29889926122
1646,175226.5083352962
1647,192123.55740883294
1648,167322.1116051511
1649,144526.97462320013
1650,132407.570481511
1651,148889.17625856062
1652,107147.04554160273
1653,107915.13512165911
1654,171949.8603450747
1655,177519.94344655276
1656,168548.29389394782
1657,172914.000072465
1658,172239.58173333653
1659,140308.79616795894
1660,167062.58352171833
1661,337711.4945102653
1662,313345.67040629487
1663,302110.1325865848
1664,330068.01210512663
1665,272116.8490748893
1666,255305.0980894996
1667,292377.7651389288
1668,273377.2942050307
1669,249303.69208805208
1670,279272.9662244924
1671,235220.08528316408
1672,331400.2240849845
1673,259965.5677300195
1674,236505.78278357995
1675,192275.3859882241
1676,186221.45981273323
1677,204140.64732086385
1678,338098.6398517574
1679,301220.1453390084
1680,290099.6970338551
1681,241049.15942290844
1682,248986.41788388608
1683,205852.2962493815
1684,178040.73200295545
1685,173949.07946295582
1686,193741.9313558193
1687,166141.2549557072
1688,188904.3079269101
1689,186362.6307887808
1690,179969.1783558267
1691,171318.70379491453
1692,219789.01414514217
1693,165741.14597280818
1694,184949.91621987923
1695,175780.06626068766
1696,234479.93895082286
1697,176025.98059674408
1698,304591.733039501
1699,280001.0606431543
1700,216733.62617304633
1701,238201.0223078443
1702,246494.5100324215
1703,243353.76749156596
1704,248177.05156259303
1705,220737.58758758087
1706,333531.0538562661
1707,224028.69473085398
1708,212876.89058733662
1709,248780.25849576283
1710,230306.99828370305
1711,229513.11191471064
1712,270071.17183689144
1713,229541.0964715972
1714,224632.53410788588
1715,203302.6062682618
1716,196276.6896957151
1717,186805.83832860293
1718,148185.6009644539
1719,196908.61456963362
1720,227098.1903088713
1721,185951.69329120626
1722,142413.75265344093
1723,170444.36281446196
1724,212782.79242855313
1725,211335.34324817918
1726,182126.12169310416
1727,187012.1672799228
1728,179581.84578521672
1729,172759.88061591238
1730,171574.6589875762
1731,145493.4427507107
1732,145369.40667292895
1733,126814.25247760268
1734,138191.27981794422
1735,127994.77103531495
1736,129223.36553731465
1737,259345.38540629958
1738,201064.10980701735
